Wavelength (nm),lowFeglass_n,lowFeglass_k,ITO_n,ITO_k,TiO2_n,TiO2_k,MAPI_n,MAPI_k,SPIRO_n,SPIRO_k,Au_n,Au_k
1710,1.505,8.413e-07,1.969,0.00942,2.9625,0,2.1241,0.0088332,1.5557,0.052982,0.67376,10.899
1720,1.505,8.526e-07,1.968,0.00959,2.962,0,2.1209,0.0086408,1.5549,0.053494,0.6795,10.963
1730,1.505,8.639e-07,1.968,0.00975,2.962,0,2.1177,0.0084484,1.5542,0.054007,0.68523,11.027
1740,1.505,8.752e-07,1.967,0.00992,2.962,0,2.1145,0.008256,1.5534,0.054519,0.69098,11.092
1750,1.505,8.865e-07,1.967,0.0101,2.9618,0,2.1113,0.0080636,1.5527,0.055032,0.69673,11.157
1760,1.504,8.978e-07,1.966,0.0103,2.9611,0,2.1081,0.0078712,1.5519,0.055545,0.7025,11.221
1770,1.504,9.091e-07,1.966,0.0104,2.961,0,2.105,0.0076788,1.5511,0.056057,0.70829,11.285
1780,1.504,9.204e-07,1.965,0.0106,2.961,0,2.1018,0.0074864,1.5504,0.05657,0.71408,11.35
1790,1.504,9.317e-07,1.965,0.0108,2.961,0,2.0986,0.007294,1.5496,0.057082,0.71988,11.414
1800,1.504,9.43e-07,1.964,0.011,2.9604,0,2.0954,0.0071016,1.5488,0.057595,0.72569,11.478
1810,1.504,9.607e-07,1.964,0.0111,2.96,0,2.0922,0.0069092,1.5481,0.058107,0.7315,11.542
1820,1.504,9.784e-07,1.963,0.0113,2.96,0,2.089,0.0067168,1.5473,0.05862,0.73733,11.606
1830,1.504,9.961e-07,1.963,0.0115,2.96,0,2.0859,0.0065244,1.5466,0.059132,0.74317,11.67
1840,1.503,1.0138e-06,1.962,0.0117,2.96,0,2.0827,0.006332,1.5458,0.059645,0.74901,11.734
1850,1.503,1.0315e-06,1.961,0.0119,2.96,0,2.0795,0.0061396,1.545,0.060157,0.75489,11.798
1860,1.503,1.0492e-06,1.961,0.0121,2.9593,0,2.0763,0.0059472,1.5443,0.06067,0.76078,11.863
1870,1.503,1.0669e-06,1.96,0.0122,2.959,0,2.0731,0.0057548,1.5435,0.061183,0.76666,11.927
1880,1.503,1.0846e-06,1.96,0.0124,2.959,0,2.0699,0.0055624,1.5427,0.061695,0.77256,11.991
1890,1.503,1.1023e-06,1.959,0.0126,2.959,0,2.0668,0.00537,1.542,0.062208,0.77847,12.055
1900,1.503,1.12e-06,1.959,0.0128,2.9586,0,2.0636,0.0051776,1.5412,0.06272,0.78437,12.118
1910,1.503,1.155e-06,1.958,0.013,2.958,0,2.0604,0.0049852,1.5405,0.063233,0.79031,12.182
1920,1.502,1.19e-06,1.958,0.0132,2.958,0,2.0572,0.0047928,1.5397,0.063745,0.79628,12.247
1930,1.502,1.225e-06,1.957,0.0134,2.958,0,2.054,0.0046004,1.5389,0.064258,0.80224,12.311
1940,1.502,1.26e-06,1.957,0.0136,2.958,0,2.0508,0.004408,1.5382,0.06477,0.80821,12.375
1950,1.502,1.295e-06,1.956,0.0138,2.958,0,2.0477,0.0042156,1.5374,0.065283,0.8142,12.439
1960,1.502,1.33e-06,1.956,0.014,2.958,0,2.0445,0.0040232,1.5366,0.065795,0.82018,12.503
1970,1.502,1.365e-06,1.955,0.0143,2.9579,0,2.0413,0.0038308,1.5359,0.066308,0.82619,12.567
1980,1.502,1.4e-06,1.954,0.0145,2.9572,0,2.0381,0.0036384,1.5351,0.066821,0.83224,12.63
1990,1.501,1.435e-06,1.954,0.0147,2.957,0,2.0349,0.003446,1.5343,0.067333,0.83829,12.694
2000,1.501,1.47e-06,1.953,0.0149,2.957,0,2.0317,0.0032536,1.5336,0.067846,0.84435,12.758
